

							TABLEAU DE BORD CARREFOUR:



V:Vehicule
DA: Date d'arrivée
DFP:Date de fin de passage
TS:Temps de service
LF:Longueur file


 V           DA            DFP             TS		  V           DA           DFP           TS		 LF1     LF2



 Route1	 		                               Route2	 

 118(V) 	 8h 19m 51s 	  8h 19m 59s  	 0h 0m 7s  	 118(R) 	 8h 21m 15s	  8h 21m 42s  	 0h 0m 27s  	 0 	 1 
 119(V) 	 8h 19m 55s 	  8h 20m 3s  	 0h 0m 7s  	 119(R) 	 8h 21m 26s	  8h 21m 43s  	 0h 0m 16s  	 1 	 2 
 120(O) 	 8h 20m 3s 	  8h 20m 56s  	 0h 0m 52s  	 120(R) 	 8h 21m 34s	  8h 21m 45s  	 0h 0m 10s  	 0 	 3 
 121(O) 	 8h 20m 6s 	  8h 20m 56s  	 0h 0m 50s  	 121(R) 	 8h 21m 35s	  8h 21m 47s  	 0h 0m 11s  	 1 	 4 
 122(R) 	 8h 20m 11s 	  8h 20m 57s  	 0h 0m 46s  	 122(V) 	 8h 21m 42s	  8h 21m 50s  	 0h 0m 7s  	 2 	 3 
 123(R) 	 8h 20m 16s 	  8h 20m 59s  	 0h 0m 42s  	 123(V) 	 8h 21m 42s	  8h 21m 53s  	 0h 0m 10s  	 3 	 4 
 124(R) 	 8h 20m 18s 	  8h 21m 1s  	 0h 0m 42s  	 124(V) 	 8h 21m 44s	  8h 21m 58s  	 0h 0m 14s  	 4 	 4 
 125(R) 	 8h 20m 20s 	  8h 21m 3s  	 0h 0m 42s  	 125(V) 	 8h 21m 49s	  8h 22m 7s  	 0h 0m 18s  	 5 	 3 
 126(R) 	 8h 20m 24s 	  8h 21m 6s  	 0h 0m 41s  	 126(V) 	 8h 22m 8s	  8h 22m 22s  	 0h 0m 13s  	 6 	 0 
 127(R) 	 8h 20m 26s 	  8h 21m 10s  	 0h 0m 43s  	 127(V) 	 8h 22m 15s	  8h 23m 15s  	 0h 0m 59s  	 7 	 1 
 128(R) 	 8h 20m 28s 	  8h 21m 14s  	 0h 0m 45s  	 128(V) 	 8h 22m 20s	  8h 23m 15s  	 0h 0m 54s  	 8 	 2 
 129(R) 	 8h 20m 40s 	  8h 21m 18s  	 0h 0m 38s  	 129(R) 	 8h 22m 35s	  8h 23m 16s  	 0h 0m 41s  	 9 	 2 
 130(R) 	 8h 20m 52s 	  8h 21m 23s  	 0h 0m 31s  	 130(R) 	 8h 22m 38s	  8h 23m 18s  	 0h 0m 39s  	 10 	 3 
 131(R) 	 8h 20m 53s 	  8h 21m 29s  	 0h 0m 35s  	 131(R) 	 8h 22m 52s	  8h 23m 20s  	 0h 0m 27s  	 11 	 4 
 132(V) 	 8h 20m 57s 	  8h 21m 36s  	 0h 0m 38s  	 132(R) 	 8h 23m 9s	  8h 23m 22s  	 0h 0m 13s  	 10 	 5 
 133(V) 	 8h 21m 6s 	  8h 22m 29s  	 0h 1m 22s  	 133(R) 	 8h 23m 14s	  8h 23m 25s  	 0h 0m 11s  	 7 	 6 
 134(V) 	 8h 21m 11s 	  8h 22m 29s  	 0h 1m 17s  	 134(V) 	 8h 23m 28s	  8h 23m 42s  	 0h 0m 14s  	 6 	 0 
 135(V) 	 8h 21m 15s 	  8h 22m 30s  	 0h 1m 14s  	 135(V) 	 8h 23m 46s	  8h 23m 55s  	 0h 0m 8s  	 6 	 0 
 136(V) 	 8h 21m 23s 	  8h 22m 32s  	 0h 1m 8s  	 136(V) 	 8h 23m 47s	  8h 24m 48s  	 0h 1m 0s  	 5 	 1 
 137(V) 	 8h 21m 28s 	  8h 22m 34s  	 0h 1m 5s  	 137(O) 	 8h 23m 56s	  8h 24m 48s  	 0h 0m 51s  	 6 	 1 
 138(O) 	 8h 21m 38s 	  8h 22m 36s  	 0h 0m 58s  	 138(O) 	 8h 23m 56s	  8h 24m 49s  	 0h 0m 52s  	 5 	 2 
 139(R) 	 8h 21m 45s 	  8h 22m 39s  	 0h 0m 54s  	 139(R) 	 8h 24m 4s	  8h 24m 51s  	 0h 0m 46s  	 6 	 3 
 140(R) 	 8h 22m 7s 	  8h 22m 43s  	 0h 0m 35s  	 140(R) 	 8h 24m 9s	  8h 24m 53s  	 0h 0m 44s  	 7 	 4 
 141(R) 	 8h 22m 9s 	  8h 22m 47s  	 0h 0m 37s  	 141(R) 	 8h 24m 28s	  8h 24m 55s  	 0h 0m 26s  	 8 	 5 
 142(R) 	 8h 22m 11s 	  8h 22m 51s  	 0h 0m 39s  	 142(R) 	 8h 24m 33s	  8h 24m 58s  	 0h 0m 25s  	 9 	 6 
 143(R) 	 8h 22m 14s 	  8h 22m 56s  	 0h 0m 42s  	 143(R) 	 8h 24m 37s	  8h 25m 2s  	 0h 0m 24s  	 10 	 7 
 144(R) 	 8h 22m 19s 	  8h 23m 2s  	 0h 0m 42s  	 144(R) 	 8h 24m 39s	  8h 25m 6s  	 0h 0m 26s  	 11 	 8 
 145(R) 	 8h 22m 25s 	  8h 23m 8s  	 0h 0m 42s  	 145(R) 	 8h 24m 42s	  8h 25m 10s  	 0h 0m 28s  	 12 	 9 
 146(R) 	 8h 22m 28s 	  8h 23m 9s  	 0h 0m 40s  	 146(V) 	 8h 25m 3s	  8h 25m 28s  	 0h 0m 24s  	 13 	 2 
 147(R) 	 8h 22m 28s 	  8h 24m 2s  	 0h 1m 33s  	 147(O) 	 8h 25m 32s	  8h 26m 21s  	 0h 0m 48s  	 14 	 0 
 148(V) 	 8h 22m 36s 	  8h 24m 2s  	 0h 1m 25s  	 148(R) 	 8h 25m 37s	  8h 26m 21s  	 0h 0m 43s  	 9 	 1 
 149(V) 	 8h 23m 6s 	  8h 24m 3s  	 0h 0m 57s  	 149(R) 	 8h 25m 47s	  8h 26m 22s  	 0h 0m 34s  	 4 	 2 
 150(R) 	 8h 23m 21s 	  8h 24m 5s  	 0h 0m 43s  	 150(R) 	 8h 25m 50s	  8h 26m 24s  	 0h 0m 33s  	 3 	 3 
 151(R) 	 8h 23m 34s 	  8h 24m 7s  	 0h 0m 32s  	 151(R) 	 8h 26m 10s	  8h 26m 26s  	 0h 0m 15s  	 4 	 4 
 152(R) 	 8h 23m 42s 	  8h 24m 9s  	 0h 0m 27s  	 152(R) 	 8h 26m 17s	  8h 26m 28s  	 0h 0m 10s  	 5 	 5 
 153(R) 	 8h 23m 54s 	  8h 24m 12s  	 0h 0m 18s  	 153(V) 	 8h 26m 37s	  8h 26m 48s  	 0h 0m 10s  	 6 	 0 
 154(R) 	 8h 23m 58s 	  8h 24m 16s  	 0h 0m 17s  	 154(R) 	 8h 27m 7s	  8h 27m 54s  	 0h 0m 46s  	 7 	 0 
 155(V) 	 8h 24m 20s 	  8h 24m 38s  	 0h 0m 18s  	 155(R) 	 8h 27m 17s	  8h 27m 54s  	 0h 0m 37s  	 0 	 1 
